CUST_NUM,ACT_TIME,AMT_100pf
15767,07Aug2023 17:54:21.000,
15857,07Aug2023 16:57:21.000,
15912,01Aug2023 10:20:45.000,30000
15912,08Aug2023 10:20:45.000,30000
15912,15Aug2023 10:20:45.000,30000
15912,22Aug2023 10:20:45.000,30000
15912,29Aug2023 10:20:45.000,30000
15912,07Sep2023 11:09:48.000,30000
15912,14Sep2023 11:09:48.000,30000
15912,26Sep2023 10:30:51.000,30000
15912,03Oct2023 10:30:51.000,30000
15912,10Oct2023 10:30:51.000,30000
15912,17Oct2023 10:30:51.000,30000
15912,24Oct2023 10:30:51.000,30000
15912,31Oct2023 10:30:51.000,30000
15960,16Aug2023 16:54:29.000,
16063,16Aug2023 16:55:03.000,
16079,26Aug2023 9:20:42.000,50000
16079,26Sep2023 9:20:42.000,50000
16079,26Oct2023 9:20:42.000,50000
16080,16Aug2023 17:53:55.000,
16088,16Aug2023 16:55:21.000,
16106,16Aug2023 17:35:28.000,
16133,16Aug2023 17:35:45.000,
16164,16Aug2023 18:31:01.000,
16179,16Aug2023 16:36:29.000,
1631,17Aug2023 0:45:01.000,
16337,16Aug2023 16:36:53.000,
16340,16Aug2023 17:36:31.000,
16350,16Aug2023 19:00:07.000,
16358,16Aug2023 17:36:57.000,
16366,16Aug2023 17:27:41.000,
16370,16Aug2023 19:00:34.000,
16430,16Aug2023 17:28:28.000,
16439,16Aug2023 17:28:34.000,
16452,16Aug2023 19:09:10.000,
16466,16Aug2023 16:43:30.000,
16503,16Aug2023 18:33:29.000,
16517,16Aug2023 17:29:50.000,
16544,16Aug2023 17:08:29.000,
16545,13Sep2023 19:08:25.000,30000
16545,23Sep2023 18:08:17.000,30000
16545,30Sep2023 18:08:17.000,30000
16545,20Oct2023 10:10:10.000,30000
16556,16Aug2023 17:08:40.000,
16565,16Aug2023 17:30:39.000,
16573,16Aug2023 16:30:59.000,
16574,16Aug2023 19:11:29.000,
16584,16Aug2023 16:31:27.000,
16586,16Aug2023 17:31:21.000,
16600,16Aug2023 16:59:51.000,
16628,16Aug2023 17:45:40.000,
16752,16Aug2023 17:15:37.000,
16759,16Aug2023 18:45:04.000,
16760,16Aug2023 16:33:51.000,
16762,16Aug2023 18:45:12.000,
16768,16Aug2023 17:11:07.000,
16776,16Aug2023 16:52:37.000,
16789,13Sep2023 13:17:57.000,
16796,16Aug2023 17:34:06.000,
16801,16Aug2023 17:16:39.000,
16804,05Aug2023 12:14:45.000,30000
16804,12Aug2023 12:14:45.000,30000
16804,19Aug2023 12:14:45.000,30000
16804,26Aug2023 12:14:45.000,30000
16804,02Sep2023 12:14:45.000,30000
16804,09Sep2023 12:14:45.000,30000
16804,16Sep2023 12:14:45.000,30000
16804,23Sep2023 12:14:45.000,30000
16804,30Sep2023 12:14:45.000,30000
16804,07Oct2023 12:14:45.000,30000
16804,14Oct2023 12:14:45.000,30000
16804,21Oct2023 12:14:45.000,30000
16804,28Oct2023 12:14:45.000,30000
16867,16Aug2023 17:49:20.000,
16870,16Aug2023 16:53:40.000,
16884,16Aug2023 17:37:58.000,
16895,16Aug2023 17:17:43.000,
16898,16Aug2023 17:12:25.000,
16899,16Aug2023 19:26:47.000,
16906,16Aug2023 19:28:11.000,
16913,16Aug2023 17:00:53.000,
16926,16Aug2023 18:50:10.000,
16929,16Aug2023 17:13:21.000,
16937,16Aug2023 16:39:08.000,
16939,16Aug2023 17:21:24.000,
16945,16Aug2023 17:01:30.000,
16955,16Aug2023 17:02:00.000,
16957,16Aug2023 18:50:44.000,
16964,16Aug2023 17:18:43.000,
16967,16Aug2023 16:40:38.000,
16968,16Aug2023 17:02:47.000,
16974,16Aug2023 18:51:29.000,
16975,16Aug2023 16:41:00.000,
16978,16Aug2023 17:41:01.000,
16988,16Aug2023 18:51:46.000,
16990,16Aug2023 18:51:50.000,
16997,16Aug2023 17:03:21.000,
16999,16Aug2023 17:03:22.000,
17057,16Aug2023 17:06:02.000,
17060,16Aug2023 17:20:21.000,
17066,16Aug2023 17:24:58.000,
17086,16Aug2023 18:54:28.000,
17088,16Aug2023 17:20:29.000,
17104,16Aug2023 19:10:50.000,
17126,04Aug2023 13:45:34.000,30000
17126,11Aug2023 13:45:34.000,30000
17126,18Aug2023 13:45:34.000,30000
17126,25Aug2023 13:45:34.000,30000
17126,01Sep2023 13:45:34.000,30000
17126,08Sep2023 13:45:34.000,30000
17126,15Sep2023 13:45:34.000,30000
17126,22Sep2023 13:45:34.000,30000
17126,29Sep2023 13:45:34.000,30000
17126,06Oct2023 13:45:34.000,30000
17126,13Oct2023 13:45:34.000,30000
17126,20Oct2023 13:45:34.000,30000
17126,27Oct2023 13:45:34.000,30000
17157,14Aug2023 9:23:33.000,50000
17157,14Sep2023 9:23:33.000,50000
17157,14Oct2023 9:23:33.000,50000
1731,17Aug2023 2:27:40.000,
17317,18Aug2023 15:51:49.000,30000
17317,25Aug2023 15:51:49.000,30000
17317,01Sep2023 15:51:49.000,30000
17317,14Sep2023 9:39:22.000,30000
17317,21Sep2023 9:39:22.000,30000
17317,28Sep2023 13:04:08.000,30000
17317,05Oct2023 13:04:08.000,30000
17317,12Oct2023 13:04:08.000,30000
17317,19Oct2023 13:04:08.000,30000
17393,08Aug2023 15:54:32.000,30000
17393,15Aug2023 15:54:32.000,30000
17393,22Aug2023 15:54:32.000,30000
17393,29Aug2023 15:54:32.000,30000
18068,14Aug2023 9:48:22.000,50000
18068,14Oct2023 9:15:06.000,50000
18093,01Aug2023 18:39:26.000,30000
18093,08Aug2023 18:39:26.000,30000
18093,15Aug2023 18:39:26.000,30000
18093,22Aug2023 18:39:26.000,30000
18093,29Aug2023 18:39:26.000,30000
18093,05Sep2023 18:39:26.000,30000
18093,12Sep2023 18:39:26.000,30000
18093,19Sep2023 18:39:26.000,30000
18093,26Sep2023 18:39:26.000,30000
18093,03Oct2023 18:39:26.000,30000
18093,10Oct2023 18:39:26.000,30000
18093,17Oct2023 18:39:26.000,30000
18093,24Oct2023 18:39:26.000,30000
18093,31Oct2023 18:39:26.000,30000
18152,15Aug2023 21:01:39.000,50000
18152,15Sep2023 21:01:39.000,50000
18152,15Oct2023 21:01:39.000,50000
18321,07Aug2023 10:09:09.000,30000
18321,14Aug2023 11:12:23.000,30000
18321,21Aug2023 11:12:23.000,30000
18321,28Aug2023 11:57:56.000,30000
18321,04Sep2023 11:57:56.000,30000
18321,11Sep2023 11:57:56.000,30000
18321,18Sep2023 11:57:56.000,30000
18321,25Sep2023 11:57:56.000,30000
18321,02Oct2023 11:57:56.000,30000
18321,09Oct2023 11:57:56.000,30000
18321,16Oct2023 11:57:56.000,30000
18321,25Oct2023 19:43:09.000,30000
1845,17Aug2023 0:45:34.000,
1849,16Aug2023 23:28:52.000,
1864,11Aug2023 9:50:32.000,30000
1864,18Aug2023 9:50:32.000,30000
18651,16Aug2023 20:12:14.000,
19208,16Aug2023 23:36:44.000,
19239,17Aug2023 2:06:49.000,
19259,16Aug2023 23:28:33.000,
19469,17Aug2023 1:17:11.000,
19482,17Aug2023 2:34:49.000,
19500,17Aug2023 2:11:04.000,
19621,17Aug2023 0:43:09.000,
19622,17Aug2023 2:13:22.000,
2116,16Aug2023 23:39:51.000,
21204,11Aug2023 13:44:11.000,
2139,17Aug2023 1:15:56.000,
2140,17Aug2023 2:09:28.000,
2147,17Aug2023 0:27:02.000,
21489,01Aug2023 12:19:11.000,
21505,01Aug2023 10:05:01.000,
2151,14Aug2023 8:33:01.000,50000
2151,14Sep2023 8:33:01.000,50000
2151,14Oct2023 8:33:01.000,50000
21515,01Aug2023 12:19:38.000,
21525,01Aug2023 11:49:30.000,
21528,01Aug2023 10:05:21.000,
21544,01Aug2023 11:23:07.000,
21545,01Aug2023 11:49:42.000,
21564,01Aug2023 10:59:05.000,
21571,10Sep2023 14:35:34.000,30000
21596,01Aug2023 11:23:56.000,
216,09Oct2023 22:38:21.000,
21610,01Aug2023 11:24:03.000,
21623,01Aug2023 12:06:31.000,
21652,01Aug2023 11:24:28.000,
21653,01Aug2023 12:21:37.000,
21654,01Aug2023 11:24:29.000,
2167,17Aug2023 1:16:11.000,
21670,01Aug2023 11:18:24.000,
21689,01Aug2023 11:18:35.000,
21706,01Aug2023 11:55:29.000,
21708,01Aug2023 11:03:46.000,
21714,01Aug2023 12:22:08.000,
21730,01Aug2023 12:07:03.000,
21745,01Aug2023 11:25:13.000,
21749,01Aug2023 11:25:16.000,
21763,01Aug2023 11:05:27.000,
21765,01Aug2023 10:07:57.000,
21814,01Aug2023 11:06:14.000,
21816,15Aug2023 14:21:35.000,
21818,01Aug2023 10:53:28.000,
21820,01Aug2023 11:26:25.000,
21821,01Aug2023 11:26:27.000,
21829,01Aug2023 11:57:28.000,
21843,01Aug2023 11:26:37.000,
21857,01Aug2023 11:21:16.000,
