CUST_NUM,MTH,TARIFF_PLAN,AMT_PF
1086,8,TP5,2000
1086,9,TP5,1600
1086,10,TP5,2000
1089,9,TP5,400
10890,8,TP4,1200
10890,9,TP4,1200
10890,10,TP4,1200
10893,8,TP6,3100
10893,9,TP6,3000
10893,10,TP6,3100
10902,8,TP5,2400
10902,8,TP6,300
10902,9,TP5,3600
10902,9,TP6,100
10902,10,TP5,4000
10902,10,TP6,300
10903,8,TP4,1200
10903,9,TP4,1200
10903,10,TP4,1200
10907,8,TP4,1200
10907,9,TP4,1200
10907,10,TP4,1200
10913,10,TP5,1200
10920,9,TP5,800
10920,10,TP5,1600
10922,9,TP4,1200
10927,8,TP5,800
10927,9,TP5,400
10927,10,TP5,400
10929,8,TP6,700
10935,10,TP6,300
10939,10,TP5,1200
10945,9,TP5,400
10949,8,TP4,1200
10949,9,TP4,1200
10949,10,TP4,1200
10960,10,TP6,100
10964,8,TP5,1600
10964,9,TP5,1600
10964,10,TP5,1600
10967,8,TP5,800
10967,9,TP5,1200
10967,10,TP5,1600
1098,8,TP6,100
10981,10,TP5,1600
10982,8,TP5,800
10982,9,TP5,400
10993,8,TP6,1100
11,10,TP5,400
110,8,TP4,1200
110,9,TP4,1200
110,10,TP4,1200
11001,8,TP5,2000
11001,9,TP5,1200
11001,10,TP5,800
1101,9,TP6,200
11011,8,TP4,1200
11011,9,TP4,1200
11011,10,TP4,1200
11016,9,TP6,100
11022,10,TP5,2000
11025,8,TP5,1200
11025,9,TP5,1600
11025,10,TP5,2000
11026,8,TP1,1900
11026,9,TP1,1900
11029,8,TP6,100
11029,9,TP6,200
11029,10,TP6,1100
11033,10,TP6,100
11036,8,TP5,2000
11036,9,TP5,1600
11036,10,TP5,1600
11038,8,TP6,1000
11038,9,TP6,500
11038,10,TP6,100
11039,9,TP6,100
11052,8,TP5,1600
11052,9,TP5,2000
11052,10,TP5,1600
11058,8,TP4,1200
11058,9,TP4,1200
11058,10,TP4,1200
1106,8,TP3,800
11060,8,TP6,100
11062,9,TP6,100
11062,10,TP5,400
11071,8,TP6,400
11078,8,TP6,200
11078,9,TP6,400
11078,10,TP6,200
11080,10,TP6,100
11084,9,TP6,700
11085,8,TP5,1200
11085,9,TP5,400
11086,9,TP6,200
11086,10,TP6,400
11089,10,TP6,200
11095,10,TP5,400
11097,8,TP5,1600
11097,8,TP6,600
11097,9,TP5,1200
11097,9,TP6,300
11097,10,TP5,1600
11097,10,TP6,400
11102,8,TP5,800
11102,10,TP5,400
11104,8,TP5,400
11105,10,TP5,800
11106,8,TP5,1600
11106,8,TP6,100
11106,10,TP6,100
11124,8,TP6,1000
11124,9,TP6,100
11124,10,TP6,500
11129,9,TP6,200
11134,9,TP4,1200
11137,8,TP5,1600
11139,8,TP5,1600
11139,9,TP5,1200
11139,10,TP5,1600
1114,8,TP4,1200
1114,9,TP4,1200
1114,10,TP4,1200
11142,8,TP5,400
11142,10,TP5,400
11146,8,TP6,400
11146,9,TP6,800
11146,10,TP6,200
11150,8,TP5,400
11150,9,TP5,400
11150,10,TP5,400
11156,8,TP5,800
11156,9,TP5,800
11157,8,TP5,2000
11157,9,TP5,1600
11157,10,TP5,1600
11161,8,TP5,1600
11161,9,TP5,1600
11161,10,TP5,2000
11164,9,TP6,100
11164,10,TP6,200
11168,8,TP4,1200
11168,9,TP4,1200
11168,10,TP4,1200
11176,8,TP6,600
11176,9,TP6,200
11183,8,TP4,1200
11183,9,TP4,1200
11183,10,TP4,1200
11184,8,TP5,1600
11184,9,TP5,1200
11184,10,TP5,1600
11189,8,TP6,100
11189,9,TP6,100
11189,10,TP6,200
1119,8,TP4,1200
1119,9,TP4,1200
1119,10,TP4,1200
11195,8,TP5,1600
11195,9,TP5,1600
11195,10,TP5,2000
11206,8,TP4,1200
11206,9,TP4,1200
11206,10,TP4,1200
1121,8,TP2,1200
1121,9,TP2,1200
1121,10,TP2,1200
11215,9,TP5,800
11215,10,TP5,400
11223,8,TP6,1500
11223,9,TP6,800
11223,10,TP6,1400
11224,8,TP5,400
11224,9,TP5,400
11224,10,TP5,1200
11232,8,TP5,1600
11232,9,TP5,2000
11232,10,TP5,1600
11236,9,TP4,1200
11236,10,TP4,1200
11237,8,TP5,800
11237,10,TP5,800
1124,8,TP5,1600
1124,9,TP5,1600
1124,10,TP5,2000
11251,8,TP4,1200
11251,9,TP4,1200
11251,10,TP4,1200
11259,10,TP5,800
11262,8,TP6,2700
11262,9,TP6,2600
11262,10,TP6,2900
11268,8,TP4,1200
11268,9,TP4,1200
11268,10,TP4,1200
11270,8,TP6,1100
11270,10,TP6,400
11271,8,TP5,800
11271,8,TP6,200
11271,9,TP5,1600
11271,10,TP5,1200
11275,10,TP6,300
11287,9,TP5,400
1129,10,TP6,500
11297,8,TP6,100
11297,9,TP6,900
11297,10,TP6,300
1130,8,TP4,1200
1130,9,TP4,1200
1130,10,TP4,1200
11300,9,TP6,100
11300,10,TP6,100
11318,8,TP5,1200
11318,9,TP5,1200
11318,9,TP6,200
11318,10,TP5,800
11318,10,TP6,200
11320,8,TP6,100
11320,9,TP6,300
11320,10,TP6,300
11338,8,TP5,1200
11338,9,TP5,800
11338,10,TP5,800
11350,9,TP4,1200
11350,10,TP4,1200
11359,9,TP3,800
1136,8,TP4,1200
1136,9,TP4,1200
1136,10,TP4,1200
11366,8,TP4,1200
11366,9,TP4,1200
11371,8,TP6,100
11371,9,TP6,100
11371,10,TP6,1300
11378,8,TP4,1200
11378,9,TP4,1200
11378,10,TP4,1200
11379,8,TP4,1200
11379,9,TP4,1200
11379,10,TP4,1200
11381,8,TP5,1600
11381,9,TP5,1600
11381,10,TP5,2000
11383,8,TP6,100
11384,8,TP4,1200
11384,9,TP4,1200
11384,10,TP4,1200
1139,9,TP5,1600
1139,10,TP5,1200
11402,8,TP4,1200
11402,10,TP4,1200
11411,8,TP4,1200
11411,9,TP4,1200
11411,10,TP4,1200
11412,8,TP5,1600
11412,9,TP5,2000
11412,10,TP5,1600
11416,8,TP6,2400
11416,9,TP5,400
11416,9,TP6,1600
11416,10,TP5,400
11416,10,TP6,2000
