CUST_NUM,MTH,TARIFF_OPTION,AMT_PF
1025,9,STD_TO,600.00
1025,10,STD_TO,500.00
10250,9,STD_TO,500.00
10250,10,STD_TO,600.00
10251,8,STD_TO,580.00
10251,9,STD_TO,300.00
10252,10,STD_TO,200.00
10255,8,STD_TO,2100.00
10255,9,STD_TO,2000.00
10255,10,STD_TO,1200.00
10256,9,STD_TO,360.00
10256,10,STD_TO,360.00
10261,8,STD_TO,300.00
10263,8,STD_TO,1800.00
10263,9,STD_TO,2400.00
10263,10,STD_TO,1500.00
10264,9,PROMO_TO,1000.00
10264,10,STD_TO,1730.00
10269,8,PROMO_TO,1000.00
10269,9,PROMO_TO,1000.00
10269,10,PROMO_TO,2050.00
1027,8,STD_TO,300.00
1027,9,STD_TO,300.00
1027,10,STD_TO,300.00
10273,8,STD_TO,600.00
10278,8,STD_TO,3000.00
10278,9,STD_TO,2700.00
10278,10,STD_TO,3000.00
1028,8,STD_TO,500.00
1028,9,STD_TO,600.00
10282,10,STD_TO,300.00
10289,8,STD_TO,320.00
10289,9,STD_TO,200.00
10289,10,STD_TO,200.00
1029,8,STD_TO,1700.00
1029,9,STD_TO,2900.00
1029,10,STD_TO,2900.00
10290,8,STD_TO,2600.00
10290,9,STD_TO,2400.00
10290,10,STD_TO,2400.00
10294,8,STD_TO,500.00
10294,9,STD_TO,600.00
10294,10,STD_TO,500.00
10297,8,STD_TO,3420.00
10297,9,STD_TO,3300.00
10297,10,STD_TO,3600.00
10298,9,STD_TO,350.00
10299,8,STD_TO,1200.00
103,8,STD_TO,3300.00
103,9,STD_TO,2930.00
103,10,STD_TO,3420.00
10300,8,PROMO_TO,1000.00
10300,9,PROMO_TO,1250.00
10300,10,PROMO_TO,2000.00
10301,8,STD_TO,3000.00
10301,9,STD_TO,3000.00
10301,10,STD_TO,2300.00
10302,8,PROMO_TO,250.00
10302,9,PROMO_TO,500.00
10302,10,PROMO_TO,1100.00
10302,10,STD_TO,350.00
10304,8,STD_TO,600.00
10304,9,STD_TO,1200.00
10304,10,STD_TO,650.00
10306,8,PROMO_TO,500.00
10306,9,PROMO_TO,250.00
10306,10,PROMO_TO,250.00
10306,10,STD_TO,300.00
10308,8,STD_TO,500.00
10308,9,STD_TO,600.00
1031,8,STD_TO,300.00
10310,8,STD_TO,900.00
10310,10,STD_TO,600.00
10312,8,STD_TO,200.00
10313,8,STD_TO,3300.00
10313,9,STD_TO,3000.00
10313,10,STD_TO,3000.00
10314,8,PROMO_TO,700.00
10314,9,PROMO_TO,350.00
10314,10,PROMO_TO,700.00
10314,10,STD_TO,200.00
10316,8,STD_TO,3000.00
10316,9,STD_TO,3200.00
10316,10,STD_TO,3000.00
10319,10,STD_TO,300.00
1032,8,STD_TO,600.00
1032,9,STD_TO,500.00
10321,8,STD_TO,300.00
10331,10,STD_TO,900.00
10336,10,STD_TO,300.00
10339,8,STD_TO,900.00
10339,9,STD_TO,600.00
10339,10,STD_TO,1200.00
10341,9,STD_TO,600.00
10341,10,STD_TO,240.00
10342,8,STD_TO,2100.00
10342,9,STD_TO,2450.00
10342,10,STD_TO,3500.00
10344,8,STD_TO,1200.00
10344,9,STD_TO,1300.00
10344,10,STD_TO,1200.00
10349,8,STD_TO,1250.00
10349,9,STD_TO,600.00
10349,10,STD_TO,900.00
10350,8,STD_TO,2400.00
10350,9,STD_TO,2700.00
10350,10,STD_TO,2700.00
10351,8,STD_TO,2260.00
10351,9,STD_TO,2400.00
10351,10,STD_TO,2930.00
10353,8,STD_TO,3100.00
10353,9,STD_TO,300.00
10353,10,STD_TO,1400.00
10356,8,PROMO_TO,700.00
10356,9,PROMO_TO,700.00
10356,10,STD_TO,300.00
10358,8,STD_TO,360.00
1036,8,STD_TO,300.00
10360,8,STD_TO,400.00
10360,9,STD_TO,400.00
10360,10,STD_TO,200.00
10362,8,STD_TO,800.00
10367,8,STD_TO,1130.00
10367,9,STD_TO,1130.00
10367,10,STD_TO,420.00
10368,8,STD_TO,300.00
10368,10,STD_TO,300.00
10370,8,STD_TO,400.00
10370,9,STD_TO,200.00
10370,10,STD_TO,200.00
10372,8,STD_TO,300.00
10372,10,STD_TO,300.00
10374,8,STD_TO,300.00
10375,8,PROMO_TO,1000.00
10375,9,PROMO_TO,2000.00
10375,10,PROMO_TO,2000.00
10376,8,STD_TO,1750.00
10376,9,STD_TO,1750.00
10376,10,STD_TO,2100.00
10377,9,STD_TO,2600.00
10378,10,STD_TO,300.00
1038,8,PROMO_TO,500.00
1038,9,PROMO_TO,1000.00
1038,10,PROMO_TO,500.00
10380,8,PROMO_TO,500.00
10380,9,PROMO_TO,500.00
10380,10,PROMO_TO,600.00
10381,8,STD_TO,1320.00
10381,9,STD_TO,1500.00
10381,10,STD_TO,3420.00
10384,8,STD_TO,800.00
10384,9,STD_TO,2700.00
10384,10,STD_TO,2800.00
10385,8,STD_TO,400.00
10385,9,STD_TO,700.00
10385,10,STD_TO,900.00
10389,8,STD_TO,2700.00
10389,9,STD_TO,2700.00
10389,10,STD_TO,3600.00
10390,8,STD_TO,1000.00
10390,9,STD_TO,1100.00
10390,10,STD_TO,600.00
10392,8,STD_TO,1400.00
10392,9,STD_TO,500.00
10397,8,STD_TO,2100.00
10397,9,STD_TO,1500.00
10397,10,STD_TO,2400.00
10398,8,PROMO_TO,1000.00
10398,9,PROMO_TO,1000.00
10398,10,PROMO_TO,1000.00
10399,8,STD_TO,900.00
10399,9,STD_TO,800.00
10399,10,STD_TO,800.00
104,8,STD_TO,350.00
104,9,STD_TO,350.00
1040,8,STD_TO,600.00
1040,9,STD_TO,1900.00
1040,10,STD_TO,1500.00
10400,9,STD_TO,1100.00
10400,10,STD_TO,1100.00
10403,10,STD_TO,200.00
1041,10,STD_TO,600.00
10410,8,STD_TO,2200.00
10410,9,STD_TO,3100.00
10410,10,STD_TO,3000.00
10412,8,STD_TO,600.00
10412,9,PROMO_TO,1000.00
10412,9,STD_TO,300.00
10412,10,PROMO_TO,1000.00
10420,8,PROMO_TO,500.00
10420,9,PROMO_TO,500.00
10420,10,PROMO_TO,500.00
10423,10,STD_TO,1500.00
10424,8,PROMO_TO,2000.00
10424,9,PROMO_TO,1000.00
10424,10,PROMO_TO,1000.00
10426,8,STD_TO,1250.00
10426,9,STD_TO,720.00
10426,10,STD_TO,660.00
10427,8,STD_TO,900.00
10428,9,STD_TO,300.00
10428,10,STD_TO,300.00
10429,8,STD_TO,300.00
10429,9,STD_TO,900.00
10429,10,STD_TO,1200.00
1043,9,STD_TO,300.00
1043,10,STD_TO,600.00
10430,8,STD_TO,600.00
10430,9,STD_TO,600.00
10430,10,STD_TO,400.00
10432,8,STD_TO,900.00
10432,9,STD_TO,300.00
10432,10,STD_TO,600.00
10434,8,PROMO_TO,500.00
10434,9,PROMO_TO,500.00
10434,10,PROMO_TO,500.00
10435,8,STD_TO,1300.00
10435,9,STD_TO,590.00
10435,10,STD_TO,1000.00
10437,8,STD_TO,240.00
10437,9,STD_TO,600.00
10437,10,STD_TO,520.00
10441,8,STD_TO,1280.00
10441,10,STD_TO,470.00
10443,8,STD_TO,400.00
10443,9,STD_TO,400.00
10443,10,STD_TO,300.00
10445,8,STD_TO,600.00
10448,10,STD_TO,300.00
10449,8,STD_TO,200.00
10451,8,STD_TO,1500.00
10451,9,STD_TO,400.00
10451,10,STD_TO,400.00
10453,8,STD_TO,400.00
10453,9,STD_TO,720.00
10453,10,STD_TO,600.00
10457,8,STD_TO,1000.00
10457,10,STD_TO,700.00
