CUSTOMER_ID,PROMO_TO_SEG,STATUS_TO,TYPE_TO
10173,4,A,DATA
10175,1,A,DATA
10175,5,A,VOICE
10177,2,A,VOICE
10177,4,A,DATA
10178,2,A,VOICE
10178,8,A,DATA
10179,8,A,DATA
10179,8,A,VOICE
1018,2,A,VOICE
1018,4,A,DATA
10180,5,A,DATA
10180,8,A,VOICE
10181,1,A,DATA
10181,5,A,VOICE
10182,1,A,DATA
10182,4,A,VOICE
10184,5,A,DATA
10184,5,A,VOICE
10185,1,A,DATA
10185,5,A,VOICE
10186,4,A,VOICE
10186,5,A,DATA
10187,1,A,DATA
10187,4,A,VOICE
10188,3,A,VOICE
10188,8,A,DATA
10190,2,A,DATA
10190,5,A,VOICE
10192,2,A,VOICE
10192,4,A,DATA
10193,3,A,VOICE
10193,8,A,DATA
10194,5,A,VOICE
10194,8,A,DATA
10196,1,A,DATA
10196,4,A,VOICE
10197,1,A,DATA
10197,8,A,VOICE
10198,1,A,DATA
10198,4,A,VOICE
10199,5,A,DATA
10199,8,A,VOICE
102,2,A,DATA
102,3,A,VOICE
1020,4,A,VOICE
1020,6,A,DATA
10200,4,A,DATA
10200,4,A,VOICE
10201,1,A,DATA
10201,5,A,VOICE
10202,3,A,DATA
10202,8,A,VOICE
10203,1,A,DATA
10203,6,A,VOICE
10204,4,A,DATA
10204,4,A,VOICE
10205,5,A,DATA
10205,5,A,VOICE
10206,1,A,DATA
10206,5,A,VOICE
10207,1,A,DATA
10207,8,A,VOICE
10208,1,A,DATA
10208,6,A,VOICE
10209,4,A,VOICE
10209,8,A,DATA
1021,2,A,VOICE
1021,8,A,DATA
10210,4,A,VOICE
10210,5,A,DATA
10211,1,A,DATA
10211,2,A,VOICE
10212,3,A,DATA
10212,4,A,VOICE
10213,1,A,DATA
10213,4,A,VOICE
10214,2,A,VOICE
10214,5,A,DATA
10215,2,A,DATA
10215,2,A,VOICE
10216,2,A,VOICE
10216,4,A,DATA
10217,1,A,DATA
10217,8,A,VOICE
10218,1,A,DATA
10218,1,A,VOICE
10219,2,A,VOICE
10219,8,A,DATA
1022,7,A,DATA
1022,7,A,VOICE
10223,1,A,VOICE
10223,8,A,DATA
10224,1,A,DATA
10224,4,A,VOICE
10226,3,A,VOICE
10226,4,A,DATA
10228,3,A,VOICE
10228,8,A,DATA
10229,1,A,DATA
10229,7,A,VOICE
1023,1,A,DATA
1023,1,A,VOICE
10230,5,A,DATA
10230,5,A,VOICE
10231,1,A,DATA
10231,1,A,VOICE
10232,1,A,DATA
10232,4,A,VOICE
10234,4,A,VOICE
10234,5,A,DATA
10235,1,A,VOICE
10235,8,A,DATA
10236,2,A,VOICE
10236,4,A,DATA
10237,1,A,VOICE
10237,8,A,DATA
10238,1,A,DATA
10238,2,A,VOICE
1024,1,A,DATA
1024,2,A,VOICE
10240,2,A,DATA
10240,2,A,VOICE
10241,6,A,DATA
10241,7,A,VOICE
10242,2,A,DATA
10242,2,A,VOICE
10243,3,A,VOICE
10243,5,A,DATA
10244,1,A,DATA
10244,2,A,VOICE
10245,1,A,DATA
10245,6,A,VOICE
10246,5,A,DATA
10246,6,A,VOICE
10247,1,A,DATA
10247,2,A,VOICE
10249,1,A,VOICE
10249,5,A,DATA
1025,1,A,VOICE
1025,6,A,DATA
10250,2,A,VOICE
10250,4,A,DATA
10251,2,A,VOICE
10251,4,A,DATA
10252,1,A,DATA
10252,6,A,VOICE
10254,1,A,DATA
10254,4,A,VOICE
10255,2,A,VOICE
10255,8,A,DATA
10256,2,A,VOICE
10256,3,A,DATA
10258,1,A,DATA
10258,5,A,VOICE
10259,1,A,DATA
10259,7,A,VOICE
1026,5,A,VOICE
1026,6,A,DATA
10260,1,A,DATA
10260,5,A,VOICE
10262,1,A,DATA
10262,3,A,VOICE
10263,8,A,DATA
10263,8,A,VOICE
10264,4,A,DATA
10264,4,A,VOICE
10265,1,A,DATA
10265,2,A,VOICE
10266,1,A,DATA
10266,5,A,VOICE
10267,1,A,DATA
10267,5,A,VOICE
10268,1,A,DATA
10268,6,A,VOICE
10269,4,A,DATA
10269,6,A,VOICE
1027,2,A,VOICE
1027,4,A,DATA
10270,1,A,DATA
10270,7,A,VOICE
10272,1,A,DATA
10272,7,A,VOICE
10273,4,A,VOICE
10273,5,A,DATA
10274,1,A,DATA
10274,5,A,VOICE
10275,4,A,VOICE
10275,5,A,DATA
10276,1,A,DATA
10276,4,A,VOICE
10277,6,A,VOICE
10277,8,A,DATA
10278,7,A,VOICE
10278,8,A,DATA
10279,1,A,DATA
10279,5,A,VOICE
1028,3,A,VOICE
1028,4,A,DATA
10281,1,A,DATA
10281,4,A,VOICE
10282,1,A,DATA
10282,8,A,VOICE
10283,1,A,DATA
10283,1,A,VOICE
10284,1,A,DATA
10284,2,A,VOICE
10285,1,A,DATA
10285,4,A,VOICE
10287,1,A,DATA
10287,5,A,VOICE
10288,1,A,DATA
10288,1,A,VOICE
10289,2,A,DATA
10289,5,A,VOICE
1029,4,A,VOICE
1029,8,A,DATA
10290,4,A,VOICE
10290,8,A,DATA
10291,2,A,VOICE
10291,7,A,DATA
10292,1,A,VOICE
10292,6,A,DATA
10293,1,A,DATA
10293,6,A,VOICE
10294,2,A,VOICE
10294,4,A,DATA
10295,1,A,DATA
10295,1,A,VOICE
10296,1,A,DATA
10296,3,A,VOICE
10297,8,A,DATA
10297,8,A,VOICE
10298,3,A,DATA
10298,5,A,VOICE
10299,2,A,VOICE
10299,8,A,DATA
103,5,A,VOICE
103,8,A,DATA
10300,2,A,VOICE
10300,5,A,DATA
10301,6,A,VOICE
10301,8,A,DATA
10302,3,A,DATA
10302,5,A,VOICE
10303,1,A,DATA
10303,5,A,VOICE
10304,2,A,VOICE
10304,5,A,DATA
10305,1,A,DATA
10305,8,A,VOICE
10306,3,A,DATA
10306,4,A,VOICE
10307,1,A,DATA
10307,2,A,VOICE
10308,3,A,VOICE
10308,4,A,DATA
10309,1,A,DATA
10309,5,A,VOICE
10311,1,A,DATA
10311,8,A,VOICE
10312,2,A,VOICE
10312,5,A,DATA
10313,5,A,VOICE
10313,8,A,DATA
10314,2,A,VOICE
10314,4,A,DATA
10315,4,A,VOICE
10315,5,A,DATA
10316,2,A,VOICE
10316,8,A,DATA
10317,1,A,DATA
10317,8,A,VOICE
10318,1,A,DATA
10318,5,A,VOICE
10319,1,A,DATA
10319,5,A,VOICE
10320,1,A,DATA
10320,4,A,VOICE
10322,1,A,DATA
10322,2,A,VOICE
10323,1,A,DATA
10323,2,A,VOICE
10324,4,A,VOICE
10324,6,A,DATA
10325,1,A,VOICE
10325,4,A,DATA
10326,1,A,DATA
10326,4,A,VOICE
10327,1,A,DATA
10327,5,A,VOICE
10328,1,A,DATA
10328,1,A,VOICE
10329,1,A,DATA
10329,7,A,VOICE
1033,2,A,VOICE
1033,5,A,DATA
10330,7,A,DATA
10330,7,A,VOICE
10332,1,A,DATA
10332,4,A,VOICE
10334,5,A,DATA
10334,7,A,VOICE
10337,1,A,DATA
10337,4,A,VOICE
10338,5,A,VOICE
10338,8,A,DATA
10339,3,A,VOICE
10339,7,A,DATA
1034,1,A,DATA
1034,2,A,VOICE
10340,1,A,DATA
10340,1,A,VOICE
10341,4,A,DATA
10341,5,A,VOICE
10342,4,A,VOICE
10342,8,A,DATA
10343,1,A,DATA
10343,5,A,VOICE
10344,5,A,DATA
10344,5,A,VOICE
10345,3,A,VOICE
10345,4,A,DATA
10346,1,A,DATA
10346,8,A,VOICE
10347,1,A,DATA
10347,5,A,VOICE
10348,1,A,VOICE
10348,5,A,DATA
10349,5,A,DATA
10349,8,A,VOICE
1035,1,A,DATA
1035,7,A,VOICE
10350,8,A,DATA
10350,8,A,VOICE
10351,5,A,VOICE
10351,8,A,DATA
10352,2,A,VOICE
10352,6,A,DATA
10353,8,A,DATA
10353,8,A,VOICE
10355,1,A,DATA
10355,4,A,VOICE
10356,4,A,DATA
10356,4,A,VOICE
10357,1,A,DATA
10357,5,A,VOICE
10358,2,A,VOICE
10358,3,A,DATA
10359,2,A,DATA
10359,6,A,VOICE
1036,1,A,VOICE
1036,3,A,DATA
10360,3,A,DATA
10360,3,A,VOICE
10361,2,A,VOICE
10361,5,A,DATA
10362,1,A,VOICE
10362,5,A,DATA
10363,1,A,DATA
10363,3,A,VOICE
10364,1,A,DATA
10364,2,A,VOICE
10366,1,A,DATA
10366,2,A,VOICE
10367,5,A,VOICE
10367,6,A,DATA
10368,3,A,VOICE
10368,8,A,DATA
10369,1,A,DATA
10369,4,A,VOICE
1037,1,A,DATA
1037,2,A,VOICE
10370,4,A,VOICE
10370,7,A,DATA
10371,1,A,DATA
10371,1,A,VOICE
10372,2,A,DATA
10372,2,A,VOICE
10373,1,A,DATA
10373,3,A,VOICE
10375,2,A,VOICE
10375,8,A,DATA
10376,4,A,VOICE
10376,6,A,DATA
10379,1,A,DATA
10379,6,A,VOICE
1038,4,A,DATA
1038,7,A,VOICE
10380,3,A,DATA
10380,4,A,VOICE
10381,6,A,DATA
10381,8,A,VOICE
10382,4,A,VOICE
10382,5,A,DATA
10383,1,A,DATA
10383,2,A,VOICE
10384,2,A,VOICE
10384,8,A,DATA
10385,5,A,DATA
10385,8,A,VOICE
10386,1,A,VOICE
10386,8,A,DATA
10387,1,A,DATA
10387,1,A,VOICE
10388,2,A,VOICE
10388,5,A,DATA
10389,5,A,VOICE
10389,8,A,DATA
1039,1,A,DATA
1039,6,A,VOICE
10390,5,A,VOICE
10390,8,A,DATA
10391,3,A,VOICE
10391,6,A,DATA
10392,1,A,VOICE
10392,5,A,DATA
10393,1,A,DATA
10393,6,A,VOICE
10394,1,A,DATA
10394,5,A,VOICE
10396,1,A,DATA
10396,5,A,VOICE
10397,5,A,VOICE
10397,8,A,DATA
10398,2,A,VOICE
10398,4,A,DATA
10399,5,A,VOICE
10399,6,A,DATA
104,4,A,VOICE
104,6,A,DATA
1040,2,A,VOICE
1040,7,A,DATA
10402,1,A,DATA
10402,5,A,VOICE
10403,2,A,DATA
10403,2,A,VOICE
10404,1,A,DATA
10404,2,A,VOICE
10406,1,A,DATA
10406,6,A,VOICE
10408,1,A,DATA
10408,3,A,VOICE
10409,1,A,VOICE
10409,3,A,DATA
10410,8,A,DATA
10410,8,A,VOICE
10411,1,A,VOICE
10411,5,A,DATA
10412,4,A,VOICE
10412,5,A,DATA
10413,1,A,DATA
10413,7,A,VOICE
10414,1,A,DATA
10414,4,A,VOICE
10415,1,A,DATA
10415,2,A,VOICE
10416,1,A,DATA
10416,1,A,VOICE
10417,1,A,DATA
10417,5,A,VOICE
10418,2,A,DATA
10418,2,A,VOICE
10419,1,A,DATA
10419,8,A,VOICE
1042,1,A,DATA
1042,1,A,VOICE
10420,2,A,VOICE
10420,5,A,DATA
10422,1,A,DATA
10422,2,A,VOICE
10424,8,A,DATA
10424,8,A,VOICE
10425,1,A,DATA
10425,7,A,VOICE
10426,5,A,DATA
10426,5,A,VOICE
10427,1,A,VOICE
10427,4,A,DATA
10428,1,A,VOICE
10428,2,A,DATA
10429,5,A,VOICE
10429,8,A,DATA
1043,1,A,VOICE
1043,2,A,DATA
10430,4,A,DATA
10430,5,A,VOICE
10432,2,A,VOICE
10432,4,A,DATA
10433,1,A,DATA
10433,2,A,VOICE
10434,3,A,DATA
10434,4,A,VOICE
10435,6,A,VOICE
10435,8,A,DATA
10436,1,A,DATA
10436,5,A,VOICE
10437,3,A,VOICE
10437,4,A,DATA
10438,1,A,DATA
10438,3,A,VOICE
10439,1,A,DATA
10439,5,A,VOICE
1044,1,A,DATA
1044,6,A,VOICE
10440,1,A,DATA
10440,8,A,VOICE
10441,2,A,VOICE
10441,5,A,DATA
10442,1,A,DATA
10442,4,A,VOICE
10443,3,A,VOICE
10443,4,A,DATA
10444,1,A,DATA
10444,4,A,VOICE
10445,8,A,DATA
10445,8,A,VOICE
10447,4,A,DATA
10447,4,A,VOICE
10449,2,A,DATA
10449,4,A,VOICE
1045,1,A,DATA
1045,6,A,VOICE
10450,1,A,DATA
10450,2,A,VOICE
10451,3,A,VOICE
10451,6,A,DATA
10452,1,A,DATA
10452,1,A,VOICE
10453,4,A,DATA
10453,4,A,VOICE
10454,1,A,DATA
10454,7,A,VOICE
10455,1,A,DATA
10455,2,A,VOICE
10456,1,A,DATA
10456,2,A,VOICE
10457,4,A,DATA
10457,5,A,VOICE
10458,2,A,DATA
10458,2,A,VOICE
1046,4,A,DATA
1046,5,A,VOICE
10461,1,A,DATA
10461,1,A,VOICE
10462,2,A,VOICE
10462,4,A,DATA
10463,2,A,VOICE
10463,6,A,DATA
10464,1,A,DATA
10464,3,A,VOICE
10465,5,A,DATA
10465,5,A,VOICE
10466,1,A,DATA
10466,5,A,VOICE
10467,1,A,DATA
10467,1,A,VOICE
10468,3,A,DATA
10468,5,A,VOICE
10469,1,A,VOICE
10469,7,A,DATA
10470,1,A,DATA
10470,4,A,VOICE
10471,5,A,VOICE
10471,7,A,DATA
10472,2,A,VOICE
10472,5,A,DATA
10473,3,A,DATA
10473,6,A,VOICE
10474,1,A,DATA
10474,5,A,VOICE
10476,6,A,VOICE
10476,8,A,DATA
10477,1,A,DATA
10477,7,A,VOICE
10479,2,A,VOICE
10479,5,A,DATA
1048,1,A,DATA
1048,3,A,VOICE
10480,8,A,DATA
10480,8,A,VOICE
10481,1,A,VOICE
10481,5,A,DATA
10482,1,A,DATA
10482,8,A,VOICE
10484,1,A,DATA
10484,2,A,VOICE
10485,1,A,DATA
10485,4,A,VOICE
10486,5,A,DATA
10486,6,A,VOICE
10488,2,A,VOICE
10488,5,A,DATA
10489,5,A,DATA
10489,8,A,VOICE
1049,2,A,VOICE
1049,4,A,DATA
10491,1,A,DATA
10491,6,A,VOICE
10493,5,A,VOICE
10493,8,A,DATA
10494,1,A,DATA
10494,5,A,VOICE
10495,1,A,DATA
10495,3,A,VOICE
10496,1,A,DATA
10496,5,A,VOICE
10497,1,A,VOICE
10497,3,A,DATA
10498,4,A,VOICE
10498,8,A,DATA
10499,3,A,VOICE
10499,4,A,DATA
105,1,A,DATA
105,1,A,VOICE
1050,4,A,VOICE
1050,8,A,DATA
10500,1,A,DATA
10500,1,A,VOICE
10501,1,A,DATA
10501,2,A,VOICE
10502,1,A,VOICE
10502,4,A,DATA
10503,2,A,VOICE
10503,8,A,DATA
10504,1,A,DATA
10504,5,A,VOICE
10505,2,A,VOICE
10505,8,A,DATA
10506,8,A,DATA
10506,8,A,VOICE
10507,1,A,DATA
10507,5,A,VOICE
10508,4,A,VOICE
10508,6,A,DATA
10509,4,A,DATA
10509,4,A,VOICE
1051,1,A,DATA
1051,1,A,VOICE
10510,5,A,DATA
10510,6,A,VOICE
10511,4,A,VOICE
10511,5,A,DATA
10512,5,A,DATA
10512,8,A,VOICE
10513,1,A,DATA
10513,5,A,VOICE
10514,1,A,DATA
10514,5,A,VOICE
10515,1,A,DATA
10515,1,A,VOICE
10516,1,A,DATA
10516,5,A,VOICE
10517,5,A,DATA
10517,8,A,VOICE
10518,2,A,VOICE
10518,3,A,DATA
10519,2,A,VOICE
10519,3,A,DATA
1052,1,A,DATA
1052,7,A,VOICE
10520,1,A,DATA
10520,2,A,VOICE
10521,1,A,DATA
10521,2,A,VOICE
10522,1,A,DATA
10522,1,A,VOICE
10524,2,A,VOICE
10524,4,A,DATA
10525,4,A,DATA
10525,5,A,VOICE
10527,1,A,DATA
10527,5,A,VOICE
10528,1,A,VOICE
10528,4,A,DATA
10529,2,A,VOICE
10529,3,A,DATA
1053,1,A,DATA
1053,1,A,VOICE
10530,1,A,DATA
10530,4,A,VOICE
10532,2,A,DATA
10532,5,A,VOICE
10533,6,A,VOICE
10533,8,A,DATA
10534,3,A,VOICE
10534,8,A,DATA
10535,1,A,DATA
10535,5,A,VOICE
10536,1,A,DATA
10536,2,A,VOICE
10537,4,A,DATA
10537,8,A,VOICE
10538,1,A,DATA
10538,5,A,VOICE
10539,1,A,DATA
10539,5,A,VOICE
1054,2,A,VOICE
1054,5,A,DATA
10540,1,A,DATA
10540,4,A,VOICE
10541,1,A,DATA
10541,5,A,VOICE
10542,1,A,DATA
10542,1,A,VOICE
10543,4,A,DATA
10543,4,A,VOICE
10544,1,A,DATA
10544,4,A,VOICE
10545,1,A,DATA
10545,7,A,VOICE
10547,1,A,DATA
10547,6,A,VOICE
10548,1,A,DATA
10548,2,A,VOICE
10549,4,A,VOICE
10549,8,A,DATA
1055,1,A,DATA
1055,1,A,VOICE
10550,4,A,DATA
10550,4,A,VOICE
10551,2,A,DATA
10551,5,A,VOICE
10555,2,A,VOICE
10555,3,A,DATA
10556,5,A,DATA
10556,5,A,VOICE
10557,7,A,DATA
10557,8,A,VOICE
10558,5,A,VOICE
10558,8,A,DATA
10559,1,A,VOICE
10559,3,A,DATA
1056,1,A,DATA
1056,3,A,VOICE
10560,1,A,VOICE
10560,2,A,DATA
10561,1,A,DATA
10561,1,A,VOICE
10562,3,A,VOICE
10562,6,A,DATA
10563,1,A,DATA
10563,4,A,VOICE
10564,1,A,DATA
10564,4,A,VOICE
10565,2,A,VOICE
10565,8,A,DATA
10567,4,A,VOICE
10567,6,A,DATA
10568,2,A,VOICE
10568,5,A,DATA
10569,4,A,DATA
10569,8,A,VOICE
10571,5,A,VOICE
10571,6,A,DATA
10572,7,A,VOICE
10572,8,A,DATA
10573,1,A,VOICE
10573,5,A,DATA
10574,1,A,DATA
10574,5,A,VOICE
10575,1,A,DATA
10575,4,A,VOICE
10576,4,A,VOICE
10576,5,A,DATA
10577,2,A,DATA
