CUST_NUM,MTH,TARIFF_OPTION,AMT_PF
13351,9,PROMO_TO,700.00
13353,9,PROMO_TO,400.00
13353,10,PROMO_TO,200.00
13461,9,PROMO_TO,550.00
13461,10,PROMO_TO,550.00
13481,10,PROMO_TO,200.00
13521,10,PROMO_TO,550.00
13536,8,PROMO_TO,800.00
13536,9,PROMO_TO,2000.00
13536,10,PROMO_TO,1600.00
13593,8,PROMO_TO,200.00
13593,10,PROMO_TO,200.00
13606,9,PROMO_TO,200.00
13638,8,PROMO_TO,1100.00
13638,9,PROMO_TO,1100.00
13638,10,PROMO_TO,1100.00
13645,8,PROMO_TO,200.00
13645,9,PROMO_TO,200.00
13645,10,PROMO_TO,250.00
13688,8,PROMO_TO,350.00
13688,9,PROMO_TO,350.00
13688,10,PROMO_TO,350.00
13697,10,PROMO_TO,1100.00
1374,8,PROMO_TO,1100.00
1374,9,PROMO_TO,1100.00
1374,10,PROMO_TO,1100.00
13829,8,PROMO_TO,200.00
13829,9,PROMO_TO,200.00
13829,10,PROMO_TO,200.00
13854,8,PROMO_TO,550.00
13854,9,PROMO_TO,550.00
13868,9,PROMO_TO,200.00
13868,10,PROMO_TO,350.00
13944,8,PROMO_TO,600.00
13944,9,PROMO_TO,900.00
13944,10,PROMO_TO,450.00
13989,8,PROMO_TO,200.00
13989,9,PROMO_TO,200.00
14012,8,PROMO_TO,1100.00
14012,9,PROMO_TO,1100.00
14012,10,PROMO_TO,1100.00
14040,8,PROMO_TO,200.00
14040,9,PROMO_TO,200.00
14040,10,PROMO_TO,400.00
14093,8,PROMO_TO,550.00
14093,9,PROMO_TO,550.00
14093,10,PROMO_TO,1650.00
14104,8,PROMO_TO,200.00
14104,9,PROMO_TO,200.00
14104,10,PROMO_TO,250.00
1418,9,PROMO_TO,300.00
1418,10,PROMO_TO,150.00
14182,8,PROMO_TO,1100.00
14182,9,PROMO_TO,1100.00
14182,10,PROMO_TO,1100.00
14294,10,PROMO_TO,500.00
14308,10,PROMO_TO,250.00
14321,10,PROMO_TO,250.00
14375,10,PROMO_TO,250.00
14385,9,PROMO_TO,200.00
1441,8,PROMO_TO,200.00
1441,9,PROMO_TO,200.00
1441,10,PROMO_TO,750.00
14466,8,PROMO_TO,350.00
14466,9,PROMO_TO,700.00
14466,10,PROMO_TO,350.00
14481,8,PROMO_TO,1100.00
14481,9,PROMO_TO,1100.00
14481,10,PROMO_TO,1100.00
14505,8,PROMO_TO,400.00
14505,10,PROMO_TO,200.00
14561,8,PROMO_TO,200.00
14561,9,PROMO_TO,200.00
14561,10,PROMO_TO,550.00
14625,8,PROMO_TO,350.00
14631,8,PROMO_TO,1100.00
14631,9,PROMO_TO,1100.00
14631,10,PROMO_TO,1500.00
14655,8,PROMO_TO,350.00
14663,8,PROMO_TO,150.00
14678,8,PROMO_TO,550.00
14678,9,PROMO_TO,550.00
14678,10,PROMO_TO,550.00
14699,8,PROMO_TO,550.00
14737,9,PROMO_TO,350.00
14767,8,PROMO_TO,150.00
14822,8,PROMO_TO,300.00
14822,9,PROMO_TO,300.00
14822,10,PROMO_TO,850.00
14824,9,PROMO_TO,550.00
14845,8,PROMO_TO,200.00
14885,8,PROMO_TO,700.00
14885,9,PROMO_TO,700.00
14885,10,PROMO_TO,2200.00
14911,9,PROMO_TO,550.00
14920,10,PROMO_TO,150.00
14958,10,PROMO_TO,200.00
15062,10,PROMO_TO,550.00
1508,8,PROMO_TO,550.00
1508,9,PROMO_TO,550.00
1508,10,PROMO_TO,550.00
15088,8,PROMO_TO,550.00
15088,9,PROMO_TO,550.00
1511,8,PROMO_TO,200.00
15200,10,PROMO_TO,200.00
1522,8,PROMO_TO,550.00
15250,10,PROMO_TO,800.00
15260,8,PROMO_TO,200.00
15260,9,PROMO_TO,200.00
15260,10,PROMO_TO,250.00
15277,9,PROMO_TO,1100.00
15277,10,PROMO_TO,1100.00
15307,8,PROMO_TO,550.00
15307,10,PROMO_TO,550.00
15389,10,PROMO_TO,350.00
15396,10,PROMO_TO,250.00
15410,10,PROMO_TO,250.00
15424,10,PROMO_TO,250.00
15434,9,PROMO_TO,250.00
1544,9,PROMO_TO,200.00
15463,8,PROMO_TO,200.00
15463,9,PROMO_TO,200.00
15463,10,PROMO_TO,200.00
15471,9,PROMO_TO,200.00
15510,8,PROMO_TO,450.00
15510,9,PROMO_TO,150.00
1555,10,PROMO_TO,150.00
15568,9,PROMO_TO,1500.00
15588,8,PROMO_TO,550.00
15588,9,PROMO_TO,550.00
15637,8,PROMO_TO,1100.00
1566,10,PROMO_TO,400.00
1567,8,PROMO_TO,400.00
1567,9,PROMO_TO,400.00
1567,10,PROMO_TO,200.00
15674,9,PROMO_TO,1100.00
157,9,PROMO_TO,350.00
157,10,PROMO_TO,350.00
15784,8,PROMO_TO,200.00
15804,8,PROMO_TO,200.00
15804,9,PROMO_TO,200.00
15804,10,PROMO_TO,200.00
15820,9,PROMO_TO,200.00
15864,8,PROMO_TO,350.00
15864,9,PROMO_TO,350.00
15867,8,PROMO_TO,200.00
15867,9,PROMO_TO,400.00
15880,9,PROMO_TO,200.00
15886,8,PROMO_TO,200.00
15886,9,PROMO_TO,200.00
15886,10,PROMO_TO,200.00
15958,8,PROMO_TO,600.00
15958,9,PROMO_TO,200.00
15958,10,PROMO_TO,200.00
15963,8,PROMO_TO,550.00
15963,9,PROMO_TO,550.00
15963,10,PROMO_TO,550.00
15974,8,PROMO_TO,550.00
16072,10,PROMO_TO,750.00
16155,8,PROMO_TO,400.00
16155,10,PROMO_TO,200.00
16218,10,PROMO_TO,250.00
16238,8,PROMO_TO,550.00
16302,8,PROMO_TO,350.00
16302,9,PROMO_TO,350.00
16302,10,PROMO_TO,350.00
16322,10,PROMO_TO,200.00
16342,9,PROMO_TO,350.00
16354,8,PROMO_TO,350.00
16354,9,PROMO_TO,350.00
16513,8,PROMO_TO,200.00
16513,10,PROMO_TO,200.00
16530,8,PROMO_TO,350.00
16631,8,PROMO_TO,200.00
16655,10,PROMO_TO,550.00
16748,8,PROMO_TO,200.00
16748,9,PROMO_TO,200.00
16758,9,PROMO_TO,550.00
16758,10,PROMO_TO,550.00
16774,10,PROMO_TO,1100.00
16791,8,PROMO_TO,350.00
16791,9,PROMO_TO,1400.00
16791,10,PROMO_TO,350.00
16836,8,PROMO_TO,200.00
16836,10,PROMO_TO,250.00
16865,8,PROMO_TO,200.00
16865,9,PROMO_TO,400.00
16865,10,PROMO_TO,200.00
16872,9,PROMO_TO,550.00
16872,10,PROMO_TO,550.00
16881,10,PROMO_TO,200.00
16962,8,PROMO_TO,150.00
17041,10,PROMO_TO,250.00
17048,8,PROMO_TO,1100.00
17048,9,PROMO_TO,1100.00
17072,10,PROMO_TO,250.00
17101,8,PROMO_TO,200.00
17101,9,PROMO_TO,200.00
17101,10,PROMO_TO,200.00
17175,8,PROMO_TO,1200.00
17175,9,PROMO_TO,3200.00
17175,10,PROMO_TO,400.00
1728,8,PROMO_TO,550.00
1728,9,PROMO_TO,550.00
17285,8,PROMO_TO,200.00
17285,9,PROMO_TO,200.00
17285,10,PROMO_TO,200.00
17323,8,PROMO_TO,200.00
17323,9,PROMO_TO,200.00
17323,10,PROMO_TO,350.00
17352,8,PROMO_TO,700.00
17352,9,PROMO_TO,700.00
17352,10,PROMO_TO,2200.00
17375,8,PROMO_TO,550.00
17375,9,PROMO_TO,550.00
17375,10,PROMO_TO,550.00
17392,8,PROMO_TO,1100.00
17392,9,PROMO_TO,1100.00
17392,10,PROMO_TO,1100.00
17394,10,PROMO_TO,250.00
17401,8,PROMO_TO,350.00
17401,9,PROMO_TO,350.00
17401,10,PROMO_TO,350.00
17403,8,PROMO_TO,750.00
17403,9,PROMO_TO,750.00
17403,10,PROMO_TO,1250.00
17548,8,PROMO_TO,700.00
17548,9,PROMO_TO,350.00
1757,8,PROMO_TO,1100.00
1757,10,PROMO_TO,1100.00
1759,9,PROMO_TO,200.00
1759,10,PROMO_TO,200.00
17602,8,PROMO_TO,450.00
17602,9,PROMO_TO,600.00
17602,10,PROMO_TO,300.00
17651,10,PROMO_TO,350.00
17675,9,PROMO_TO,550.00
17702,8,PROMO_TO,350.00
17702,9,PROMO_TO,350.00
17702,10,PROMO_TO,350.00
1773,8,PROMO_TO,400.00
1773,9,PROMO_TO,200.00
1773,10,PROMO_TO,200.00
1774,8,PROMO_TO,750.00
1774,9,PROMO_TO,1000.00
1774,10,PROMO_TO,1000.00
17743,8,PROMO_TO,200.00
17743,10,PROMO_TO,200.00
17782,8,PROMO_TO,550.00
17782,9,PROMO_TO,550.00
17782,10,PROMO_TO,1100.00
17804,8,PROMO_TO,1100.00
17804,9,PROMO_TO,2200.00
17804,10,PROMO_TO,1100.00
17806,9,PROMO_TO,200.00
17917,10,PROMO_TO,550.00
17921,8,PROMO_TO,350.00
17921,9,PROMO_TO,350.00
17936,9,PROMO_TO,350.00
17993,10,PROMO_TO,1100.00
18,9,PROMO_TO,700.00
18002,8,PROMO_TO,150.00
18002,10,PROMO_TO,600.00
18009,8,PROMO_TO,1100.00
18009,9,PROMO_TO,550.00
18009,10,PROMO_TO,550.00
18075,9,PROMO_TO,500.00
18084,8,PROMO_TO,200.00
18084,9,PROMO_TO,600.00
18084,10,PROMO_TO,200.00
1813,8,PROMO_TO,400.00
1813,9,PROMO_TO,200.00
1813,10,PROMO_TO,200.00
1814,8,PROMO_TO,550.00
1814,9,PROMO_TO,1100.00
1814,10,PROMO_TO,550.00
18153,9,PROMO_TO,350.00
18153,10,PROMO_TO,350.00
18165,8,PROMO_TO,550.00
18165,10,PROMO_TO,550.00
18168,8,PROMO_TO,350.00
18168,9,PROMO_TO,350.00
18168,10,PROMO_TO,350.00
1817,10,PROMO_TO,350.00
1824,8,PROMO_TO,200.00
1824,9,PROMO_TO,200.00
1824,10,PROMO_TO,200.00
18282,9,PROMO_TO,350.00
18282,10,PROMO_TO,350.00
18283,8,PROMO_TO,450.00
18283,9,PROMO_TO,450.00
18283,10,PROMO_TO,1400.00
18318,8,PROMO_TO,350.00
18318,9,PROMO_TO,350.00
1858,8,PROMO_TO,200.00
1858,9,PROMO_TO,200.00
1858,10,PROMO_TO,200.00
18675,8,PROMO_TO,200.00
18675,9,PROMO_TO,200.00
18675,10,PROMO_TO,200.00
18963,8,PROMO_TO,600.00
18963,9,PROMO_TO,200.00
18963,10,PROMO_TO,200.00
18972,8,PROMO_TO,150.00
18972,9,PROMO_TO,150.00
19009,9,PROMO_TO,200.00
19054,10,PROMO_TO,150.00
1910,8,PROMO_TO,200.00
19452,8,PROMO_TO,700.00
19452,10,PROMO_TO,350.00
19564,9,PROMO_TO,150.00
1962,8,PROMO_TO,300.00
19674,8,PROMO_TO,150.00
1969,8,PROMO_TO,1500.00
1969,9,PROMO_TO,1500.00
1969,10,PROMO_TO,1500.00
19773,8,PROMO_TO,1350.00
19827,8,PROMO_TO,450.00
19995,8,PROMO_TO,200.00
19995,9,PROMO_TO,200.00
2001,8,PROMO_TO,350.00
2001,9,PROMO_TO,350.00
20142,8,PROMO_TO,350.00
2037,8,PROMO_TO,1100.00
2042,8,PROMO_TO,550.00
20510,9,PROMO_TO,700.00
20584,10,PROMO_TO,150.00
20602,9,PROMO_TO,200.00
20603,9,PROMO_TO,150.00
2064,8,PROMO_TO,550.00
20807,8,PROMO_TO,550.00
20807,10,PROMO_TO,550.00
20812,8,PROMO_TO,150.00
20872,8,PROMO_TO,200.00
21071,10,PROMO_TO,200.00
2114,8,PROMO_TO,350.00
2114,9,PROMO_TO,350.00
2114,10,PROMO_TO,350.00
21252,8,PROMO_TO,350.00
21252,9,PROMO_TO,350.00
21252,10,PROMO_TO,350.00
21731,8,PROMO_TO,150.00
21804,8,PROMO_TO,150.00
2189,8,PROMO_TO,200.00
2189,9,PROMO_TO,200.00
2191,8,PROMO_TO,200.00
2191,10,PROMO_TO,200.00
21929,8,PROMO_TO,300.00
21932,10,PROMO_TO,150.00
22034,9,PROMO_TO,350.00
22034,10,PROMO_TO,350.00
2208,8,PROMO_TO,200.00
2208,9,PROMO_TO,200.00
2208,10,PROMO_TO,200.00
2231,8,PROMO_TO,550.00
2231,9,PROMO_TO,1100.00
