CUSTOMER_ID,TARIFF,ACTIVATION_TIME,STATUS
317,TM1,31Dec1999 23:00:00,Active
318,TMnet,27Jul2023 10:33:07,Active
319,TMnet,31Jul2023 18:05:23,Active
320,TM2,11Oct2018 12:43:18,Active
321,TM1,11Feb2015 11:14:33,Active
322,TMnet,28Aug2023 9:06:43,Active
323,TMnet,13Dec2019 16:35:22,Active
324,TM1,31Dec1999 23:00:00,Active
325,TM1,31Dec1999 23:00:00,Active
326,TM2,23Oct2014 8:39:12,Active
327,TMnet,09Sep2021 14:15:54,Active
328,TM2,28Aug2012 15:35:35,Active
329,TM2,02Nov2013 13:19:34,Active
330,TM2,18Apr2014 14:21:17,Active
331,TMnet,23Jul2019 6:04:19,Active
332,TM1,31Dec1999 23:00:00,Active
333,TMnet,05Apr2019 9:29:12,Active
334,TMnet,05Jul2019 12:48:47,Active
335,TM1,31Dec1999 23:00:00,Active
336,TM2,31Dec1999 23:00:00,Active
337,TMnet,21Sep2022 18:13:00,Active
338,TM2,31Dec1999 23:00:00,Active
339,TM2,21Nov2012 15:04:54,Active
340,TMnet,15Feb2022 17:36:47,Active
341,TMnet,15Feb2022 18:20:03,Active
342,TM2,22Sep2012 10:42:42,Active
343,TM2,31Dec1999 23:00:00,Active
344,TMnet,14Feb2022 20:15:50,Active
345,TM2,31Dec1999 23:00:00,Active
346,TM2,31Dec1999 23:00:00,Active
347,TM2,14Aug2012 13:57:31,Active
348,TM2,19Jun2018 13:57:40,Active
349,TMnet,27May2019 11:50:13,Active
350,TM2,11Jul2018 17:56:11,Active
351,TM1,29Apr2014 6:25:13,Active
352,TM2,31Dec1999 23:00:00,Active
353,TM1,31Dec1999 23:00:00,Active
354,TMnet,30Oct2023 7:41:15,Active
355,TMnet,03Oct2022 16:22:56,Active
356,TMnet,11Oct2023 17:27:11,Active
357,TMnet,10May2019 6:09:59,Active
358,TMnet,27Jul2022 9:56:00,Active
359,TM2,31Dec1999 23:00:00,Active
360,TMnet,30Nov2020 23:38:25,Active
361,TMnet,09Aug2022 14:04:21,Active
362,TM2,19Oct2017 14:09:12,Active
363,TMnet,10Oct2020 18:15:07,Active
364,TMnet,10Aug2022 12:25:05,Active
365,TMnet,18Sep2020 13:29:24,Active
366,TM2,31Dec1999 23:00:00,Active
367,TM2,08Oct2017 8:03:39,Active
368,TM2,26Dec2014 14:39:23,Active
369,TM2,21Nov2013 20:06:44,Active
370,TMnet,31Jul2022 16:15:40,Active
371,TMnet,19Feb2023 16:12:07,Active
372,TM2,01Jul2016 11:46:03,Active
373,TMnet,24Dec2022 18:39:02,Active
374,TM2,31Dec1999 23:00:00,Active
375,TMnet,18Oct2022 13:02:00,Active
376,TMnet,01Jan2023 20:49:54,Active
377,TM2,31Dec1999 23:00:00,Active
378,TMnet,19Jan2022 20:43:55,Active
379,TM2,31Dec1999 23:00:00,Active
380,TM2,31Dec1999 23:00:00,Active
381,TMnet,28Apr2023 13:29:55,Active
382,TMnet,21Oct2021 19:12:44,Active
383,TMnet,09Jul2019 17:25:57,Active
384,TMnet,08Jan2018 18:16:36,Active
385,TM1,06May2016 14:14:30,Active
386,TMnet,05May2023 10:35:42,Active
387,TM2,14Oct2015 6:39:27,Active
388,TM1,15Sep2012 7:28:48,Active
389,TMnet,16Aug2023 18:15:48,Active
390,TM2,13Jan2017 14:18:19,Active
391,TMnet,21Apr2023 9:18:10,Active
392,TMnet,05Mar2022 11:02:07,Active
393,TM2,23Mar2014 9:42:50,Active
394,TM2,31Dec1999 23:00:00,Active
395,TM2,03Aug2012 8:11:18,Active
396,TM2,08Apr2016 15:18:14,Active
397,TMnet,02Dec2021 12:57:57,Active
398,TMnet,05Jul2020 9:17:13,Active
399,TMnet,01Mar2019 9:25:01,Active
400,TMnet,18Jun2020 11:53:50,Active
401,TMnet,25Sep2019 18:31:29,Active
402,TMnet,26Oct2022 7:37:10,Active
